"","OBJECTID","HUC12","HUC_STATE_NAME","HUC_STATE_ABBR","HUC_Region","HUC_RESERVE","Core_Edge_ratio","Perc_IC","Perc_Natural","Perc_Ag","Erodibility_Factor","MEAN_Marsh_Tidal_Range","Perc_Hardened_Shoreline","Shoreline_Sinuosity","Wetland_Connectedness","Pct_MUC_below_MHHW","Pct_MUC_below_MTL","UnvegVegEdge_ratio","AVG_migration_ratio","Acres","Shape_Length","Shape_Area","Core_Edge_ratio_Quantile","Perc_IC_Quantile","Perc_Natural_Quantile","Perc_Ag_Quantile","Erodibility_Factor_Quantile","MEAN_Marsh_Tidal_Range_Quantile","Perc_Hardened_Shoreline_Quantile","Shoreline_Sinuosity_Quantile","Wetland_Connectedness_Quantile","Pct_MUC_below_MHHW_Quantile","Pct_MUC_below_MTL_Quantile","UnvegVegEdge_ratio_Quantile","AVG_migration_ratio_Quantile","QuantileScoreSum","CurrentConditionSum","VulnerabilitySum","AdaptiveCapacitySum","CurrentConditionSum_Quantile","VulnerabilitySum_Quantile","AdaptiveCapacitySum_Quantile","QuantileScoreSum_Quantile","ConditionCategory","VulnerabilityCategory","AdaptiveCapacityCategory","ManagementCategory"
"1",1,10200050906,"Maine","ME","Northeast","",1.0574052,3.7516334,82.3725739,2.8604462,0.326743119,3.784819505,4.94935673,-0.502202173,4.545454545,0.32421875,0.168526786,1.592261862,0.040987626,6614.933727,34300.45066,26769687.04,8,-6,6,-6,-10,10,-6,6,2,-5,-6,-5,2,-11,-3,-11,3,7,-5,2,4,"High","Low","Low","High-Low-Low"
"2",2,10200051003,"Maine","ME","Northeast","",0,54.2313004,5.2084765,0,0.407923323,3.907000065,16.74989787,-0.861864249,0,1,0.9375,1000,0.330448432,23864.20699,77433.96484,96575019.32,1,-10,1,-1,-10,10,-8,1,1,-10,-10,-10,6,-37,-19,-20,2,1,-10,1,1,"Low","High","Low","Low-High-Low"
"3",3,10200051007,"Maine","ME","Northeast","",0.3148789,6.3735275,66.7211838,12.4135275,0.407836383,3.807854696,4.062604773,-0.8507303,20,0.576315789,0.35,3.737704354,0.234806151,34986.28049,81114.04177,141584453.9,5,-7,4,-8,-10,10,-5,1,4,-7,-9,-8,5,-22,-14,-16,8,2,-8,3,2,"Low","High","Low","Low-High-Low"
"4",4,10200051008,"Maine","ME","Northeast","",0.3464912,2.5006187,79.8561172,14.8201437,0.368004115,3.542733998,0.910694317,-0.766215499,-10,0.986970684,0.925081433,3.222222509,0.260919178,13490.49543,49135.09854,54594098.08,5,-5,6,-9,-10,10,-4,2,1,-10,-10,-8,5,-24,-11,-20,7,3,-10,3,1,"Low","High","Low","Low-High-Low"
"5",5,10200051009,"Maine","ME","Northeast","",0,0,91.6666641,8.333333,0.362348225,3.447055799,5.366810162,-0.846039451,0,0.6,0.475,5.666666289,2.388724042,37737.40464,82439.73394,152717858.3,1,-1,8,-8,-10,10,-6,1,1,-7,-9,-9,9,-14,-9,-16,11,4,-8,5,3,"Low","High","Low","Low-High-Low"
"6",6,10300032408,"Maine","ME","Northeast","",0,1.3948015,86.3636398,9.4566355,0.357985496,3.31400013,0.263741683,-0.725697027,44.82758621,0.930501931,0.621621622,2.808823075,1.717106544,31954.49355,87780.60164,129315247.4,1,-4,7,-8,-10,10,-3,3,6,-10,-10,-7,9,-8,-11,-20,22,3,-10,9,4,"Low","High","High","Low-High-High"
"7",7,10300032409,"Maine","ME","Northeast","",0,9.5896711,68.5381088,4.7000999,0.348669181,3.310766153,9.594271373,-0.781713414,30.43478261,0.646017699,0.442477876,6.06250197,3.323084186,48203.96546,120282.8449,195074527.2,1,-8,5,-7,-10,10,-7,2,5,-8,-9,-9,9,-20,-18,-17,14,1,-8,6,2,"Low","High","High","Low-High-High"
"8",8,10400021004,"Maine","ME","Northeast","",0.2197392,0.6059149,86.4486313,11.4990501,0.347052632,3.222235877,0.491730713,-0.53016479,12.5,0.951219512,0.697560976,0.891926513,0.209940845,11703.78994,38160.9893,47363557.49,4,-3,7,-8,-10,10,-3,6,3,-10,-10,-2,5,-8,-2,-20,14,7,-10,6,4,"High","High","High","High-High-High"
"9",9,10400021006,"Maine","ME","Northeast","",0.0177485,1.7331607,92.1730728,3.3463736,0.346039959,3.224288711,0.697871741,-0.666771887,33.33333333,0.964285714,0.707142857,2.33539876,0.94974818,33420.86604,74584.69308,135249446.4,2,-4,8,-6,-10,10,-3,4,5,-10,-10,-6,8,-6,-6,-20,20,6,-10,8,5,"High","High","High","High-High-High"
"10",10,10400021007,"Maine","ME","Northeast","",1.120617,1.8332235,91.1592712,4.4866557,0.306749249,3.235734522,2.503598492,-0.616571088,23.80952381,0.987575554,0.926796508,2.503494252,0.424384616,26200.49868,73929.80316,106029656.4,8,-5,8,-7,-9,10,-5,5,4,-10,-10,-7,7,-6,-3,-19,16,7,-10,7,5,"High","High","High","High-High-High"
